Dấu thời gian,ASSESSMENT DATE ,FLEET,TRAINING MODULE:,TRAINEE RANK :,"2. OVERALL ASSESSMENT EXPERIENCE 
Please evaluate the overall quality of the assessment based on your experience.
LOW = Not effective / not representative of line operations / significant gaps identified
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Scenario Validity]","2. OVERALL ASSESSMENT EXPERIENCE 
Please evaluate the overall quality of the assessment based on your experience.
LOW = Not effective / not representative of line operations / significant gaps identified
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Operational Realism]","2. OVERALL ASSESSMENT EXPERIENCE 
Please evaluate the overall quality of the assessment based on your experience.
LOW = Not effective / not representative of line operations / significant gaps identified
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Task Predictability]","2. OVERALL ASSESSMENT EXPERIENCE 
Please evaluate the overall quality of the assessment based on your experience.
LOW = Not effective / not representative of line operations / significant gaps identified
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Assessment Design]","2. OVERALL ASSESSMENT EXPERIENCE 
Please evaluate the overall quality of the assessment based on your experience.
LOW = Not effective / not representative of line operations / significant gaps identified
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Standardization]","2. OVERALL ASSESSMENT EXPERIENCE 
Please evaluate the overall quality of the assessment based on your experience.
LOW = Not effective / not representative of line operations / significant gaps identified
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [TEM Integration]"
16/05/2026 7:33:36,15/05/2026,A321,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
16/05/2026 7:34:08,15/05/2026,A321,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
21/05/2026 17:02:40,18/05/2026,A321,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
21/05/2026 17:03:25,18/05/2026,A321,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
21/05/2026 17:04:08,16/05/2026,A321,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
21/05/2026 17:04:54,16/05/2026,A321,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
21/05/2026 17:05:10,19/05/2026,A321,4A,CAPTAIN,HIGH,HIGH,MED,HIGH,HIGH,HIGH
21/05/2026 17:05:28,03/05/2026,A321,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
21/05/2026 17:05:46,19/05/2026,A321,4A,FO,MED,MED,MED,MED,MED,MED
21/05/2026 17:05:58,03/05/2026,A321,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
21/05/2026 17:06:34,03/05/2026,A321,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
21/05/2026 17:06:58,03/05/2026,A321,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
21/05/2026 17:08:23,21/04/2026,A321,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
21/05/2026 17:08:52,21/04/2026,A321,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
21/05/2026 17:31:26,11/04/2026,A321,4A,FI,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
21/05/2026 17:32:11,11/05/2026,A321,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
21/05/2026 17:33:00,10/04/2026,A321,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
21/05/2026 17:33:36,10/04/2026,A321,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
21/05/2026 18:21:19,20/05/2026,A321,4A,LSC,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
21/05/2026 18:21:44,21/05/2026,A321,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
21/05/2026 18:22:12,21/05/2026,A321,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
21/05/2026 18:34:20,21/05/2026,A321,4A,LSC,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
21/05/2026 18:34:54,21/05/2026,A321,4A,FO,MED,MED,MED,MED,HIGH,MED
22/05/2026 13:39:14,21/05/2026,A321,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
22/05/2026 13:39:57,21/05/2026,A321,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
25/05/2026 8:03:37,23/05/2026,A321,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
25/05/2026 8:04:03,23/05/2026,A321,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
01/06/2026 0:26:14,25/05/2026,A321,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
01/06/2026 0:26:49,25/05/2026,A321,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
01/06/2026 0:27:34,30/05/2026,A321,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
01/06/2026 0:27:57,30/05/2026,A321,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
03/06/2026 23:17:15,03/06/2026,A321,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
03/06/2026 23:18:02,03/06/2026,A321,4A,CAPTAIN,MED,HIGH,HIGH,HIGH,HIGH,HIGH
