Dấu thời gian,ASSESSMENT DATE,FLEET,TRAINING MODULE,INSTRUCTOR ROLE,TRAINEE RANK ,"2. OVERALL ASSESSMENT EXPERIENCE 
Please evaluate the overall quality of the assessment based on your experience.
LOW = Not effective / not representative of line operations / significant gaps identified
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Adaptation to Trainee]","2. OVERALL ASSESSMENT EXPERIENCE 
Please evaluate the overall quality of the assessment based on your experience.
LOW = Not effective / not representative of line operations / significant gaps identified
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Cognitive Load]","2. OVERALL ASSESSMENT EXPERIENCE 
Please evaluate the overall quality of the assessment based on your experience.
LOW = Not effective / not representative of line operations / significant gaps identified
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Training Structure]","2. OVERALL ASSESSMENT EXPERIENCE 
Please evaluate the overall quality of the assessment based on your experience.
LOW = Not effective / not representative of line operations / significant gaps identified
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [UAS Progression]","2. OVERALL ASSESSMENT EXPERIENCE 
Please evaluate the overall quality of the assessment based on your experience.
LOW = Not effective / not representative of line operations / significant gaps identified
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Instructor Intervention]","2. OVERALL ASSESSMENT EXPERIENCE 
Please evaluate the overall quality of the assessment based on your experience.
LOW = Not effective / not representative of line operations / significant gaps identified
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Facilitative Debriefing]","2. OVERALL ASSESSMENT EXPERIENCE 
Please evaluate the overall quality of the assessment based on your experience.
LOW = Not effective / not representative of line operations / significant gaps identified
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [ORCA Application]","2. OVERALL ASSESSMENT EXPERIENCE 
Please evaluate the overall quality of the assessment based on your experience.
LOW = Not effective / not representative of line operations / significant gaps identified
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Learning Effectiveness]"
21/05/2026 17:06:29,20/05/2026,A321,4B,DPE,LSC,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
21/05/2026 17:07:06,20/05/2026,A321,4B,DPE,FO,MED,MED,MED,MED,MED,MED,MED,MED
21/05/2026 18:18:40,20/05/2026,A321,4B,FI,DPE,HIGH,HIGH,HIGH,HIGH,MED,HIGH,HIGH,HIGH
21/05/2026 18:20:37,20/05/2026,A321,4B,DPE,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
22/05/2026 16:08:07,22/05/2026,A321,4B,DPE,CAPTAIN,HIGH,MED,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
23/05/2026 15:10:07,22/05/2026,A321,4B,DPE,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
24/05/2026 22:34:52,24/05/2026,A321,4B,FI,FO,HIGH,HIGH,MED,LOW,LOW,MED,HIGH,MED
24/05/2026 22:37:12,24/05/2026,A321,4B,FI,CAPTAIN,MED,MED,MED,LOW,MED,MED,HIGH,MED
25/05/2026 15:10:13,19/05/2026,A350,4B,DPE,CAPTAIN,MED,MED,MED,MED,MED,MED,MED,MED
26/05/2026 7:34:15,23/05/2026,A321,3,DPE,FI,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
26/05/2026 7:35:23,23/05/2026,A321,4B,DPE,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
28/05/2026 15:46:43,28/05/2026,A321,4B,FI,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
28/05/2026 15:48:05,28/05/2026,A321,4B,FI,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
28/05/2026 15:50:47,27/05/2026,A321,4B,FI,CAPTAIN,HIGH,HIGH,HIGH,MED,HIGH,HIGH,MED,HIGH
29/05/2026 7:07:41,27/05/2026,A321,4B,DPE,FO,MED,MED,MED,MED,MED,MED,MED,MED
29/05/2026 19:39:13,28/05/2026,A321,4B,FI,CAPTAIN,MED,MED,MED,MED,MED,MED,MED,MED
29/05/2026 19:39:38,28/05/2026,A321,4B,FI,FO,MED,MED,MED,MED,MED,MED,MED,MED
31/05/2026 8:50:03,29/05/2026,A321,4B,FI,CAPTAIN,MED,MED,MED,MED,MED,MED,MED,MED
31/05/2026 8:50:40,29/05/2026,A321,4B,FI,FO,MED,MED,MED,MED,MED,MED,MED,MED
31/05/2026 15:27:14,29/05/2026,A350,4B,DPE,FO,HIGH,HIGH,HIGH,MED,MED,HIGH,HIGH,HIGH
31/05/2026 15:28:33,31/05/2026,A350,4B,DPE,CAPTAIN,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,HIGH,HIGH
01/06/2026 4:06:59,31/05/2026,A321,4B,FI,CAPTAIN,HIGH,HIGH,HIGH,HIGH,MED,HIGH,MED,HIGH
01/06/2026 4:20:52,31/05/2026,A321,4B,FI,FO,HIGH,HIGH,HIGH,HIGH,MED,HIGH,MED,HIGH
02/06/2026 9:21:33,27/05/2026,A321,4B,FI,CAPTAIN,HIGH,HIGH,HIGH,MED,HIGH,HIGH,MED,HIGH
03/06/2026 19:32:18,03/06/2026,A321,4B,FI,FI,MED,MED,MED,MED,MED,MED,MED,MED
03/06/2026 19:33:17,03/06/2026,A321,4B,FI,CAPTAIN,MED,MED,MED,MED,MED,MED,MED,MED
05/06/2026 8:26:06,03/06/2026,A321,4B,FI,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
05/06/2026 8:26:54,03/06/2026,A321,4B,FI,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
05/06/2026 18:14:47,02/06/2026,A350,4B,DPE,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
05/06/2026 18:15:33,02/06/2026,A350,4B,DPE,FO,HIGH,HIGH,HIGH,MED,MED,HIGH,HIGH,HIGH
07/06/2026 8:04:52,07/06/2026,A321,4B,DPE,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
07/06/2026 8:05:36,07/06/2026,A321,4B,DPE,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
08/06/2026 8:49:31,07/06/2026,A321,4B,FI,CAPTAIN,HIGH,MED,MED,MED,MED,MED,HIGH,HIGH
08/06/2026 9:35:37,07/06/2026,A350,4B,DPE,CAPTAIN,HIGH,HIGH,HIGH,MED,HIGH,MED,MED,HIGH
08/06/2026 10:56:16,08/06/2026,A321,4B,FI,DPE,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,HIGH,HIGH
08/06/2026 10:58:27,08/06/2026,A321,4B,FI,FO,HIGH,HIGH,HIGH,HIGH,MED,HIGH,HIGH,HIGH
10/06/2026 11:41:26,10/06/2026,A321,4B,FI,FI,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
10/06/2026 11:42:12,10/06/2026,A321,4B,FI,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
10/06/2026 15:29:45,10/06/2026,A321,4B,DPE,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
10/06/2026 15:30:20,10/06/2026,A321,4B,DPE,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
12/06/2026 16:02:40,09/06/2026,B787,4B,DPE,CAPTAIN,HIGH,HIGH,HIGH,HIGH,MED,HIGH,HIGH,HIGH
12/06/2026 16:03:31,09/06/2026,B787,4B,DPE,CAPTAIN,HIGH,HIGH,HIGH,HIGH,MED,HIGH,HIGH,HIGH
12/06/2026 16:04:33,11/06/2026,B787,4B,DPE,CAPTAIN,HIGH,HIGH,HIGH,HIGH,MED,HIGH,HIGH,HIGH
12/06/2026 16:05:10,11/06/2026,B787,4B,DPE,FO,HIGH,HIGH,HIGH,HIGH,MED,HIGH,HIGH,HIGH
13/06/2026 18:12:26,13/06/2026,B787,4B,DPE,CAPTAIN,HIGH,HIGH,HIGH,HIGH,MED,HIGH,HIGH,HIGH
13/06/2026 18:13:53,13/06/2026,B787,4B,DPE,FO,MED,HIGH,HIGH,MED,HIGH,HIGH,HIGH,MED
19/06/2026 7:28:15,18/06/2026,A321,4B,FI,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
19/06/2026 7:28:55,18/06/2026,A321,4B,FI,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
21/06/2026 10:19:35,20/06/2026,A321,4B,DPE,FI,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
21/06/2026 10:20:24,20/06/2026,A321,4B,DPE,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
21/06/2026 12:00:03,19/06/2026,B787,4B,DPE,CAPTAIN,HIGH,HIGH,HIGH,MED,HIGH,HIGH,HIGH,HIGH
21/06/2026 12:02:38,19/06/2026,B787,4B,DPE,FO,HIGH,HIGH,HIGH,MED,MED,HIGH,HIGH,HIGH
21/06/2026 14:17:55,19/06/2026,B787,4B,DPE,FO,HIGH,HIGH,HIGH,MED,MED,HIGH,HIGH,HIGH
22/06/2026 12:57:18,21/06/2026,A321,4B,FI,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
22/06/2026 12:57:53,21/06/2026,A321,4B,FI,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
03/07/2026 1:03:46,02/07/2026,A321,4B,FI,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
03/07/2026 1:04:23,02/07/2026,A321,4B,FI,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
05/07/2026 22:13:05,07/05/2026,A321,4B,FI,DPE,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
05/07/2026 22:13:48,05/07/2026,A321,4B,FI,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH
09/07/2026 21:21:57,07/07/2026,A321,4B,FI,CAPTAIN,HIGH,MED,MED,MED,MED,HIGH,HIGH,HIGH
10/07/2026 11:16:38,07/07/2026,A321,4B,FI,CAPTAIN,HIGH,MED,MED,MED,MED,HIGH,HIGH,HIGH
15/07/2026 15:45:06,15/07/2026,B787,4B,DPE,FO,HIGH,HIGH,HIGH,MED,LOW,HIGH,HIGH,HIGH
15/07/2026 15:46:14,15/07/2026,B787,4B,DPE,CAPTAIN,HIGH,HIGH,HIGH,MED,MED,HIGH,HIGH,HIGH
15/07/2026 22:01:06,10/07/2026,A321,4B,FI,CAPTAIN,MED,MED,MED,MED,MED,MED,MED,HIGH
17/07/2026 12:05:56,16/07/2026,A350,4B,DPE,FO,HIGH,HIGH,HIGH,MED,MED,MED,HIGH,HIGH
17/07/2026 12:06:56,16/07/2026,A350,4B,DPE,CAPTAIN,HIGH,MED,HIGH,MED,MED,HIGH,MED,HIGH
18/07/2026 11:17:46,18/07/2026,A321,4B,FI,CAPTAIN,HIGH,HIGH,HIGH,HIGH,MED,HIGH,HIGH,HIGH
18/07/2026 12:45:52,18/07/2026,A321,4B,FI,CAPTAIN,HIGH,HIGH,HIGH,HIGH,MED,HIGH,HIGH,HIGH
18/07/2026 12:46:33,18/07/2026,A321,4B,FI,FO,HIGH,HIGH,HIGH,HIGH,MED,HIGH,HIGH,HIGH
19/07/2026 6:47:06,10/07/2026,A321,4B,FI,CAPTAIN,MED,MED,MED,MED,MED,MED,MED,HIGH
19/07/2026 6:48:23,14/07/2026,A321,4B,FI,CAPTAIN,HIGH,HIGH,HIGH,HIGH,LOW,MED,MED,HIGH
19/07/2026 11:30:02,19/07/2026,B787,4B,DPE,DPE,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,HIGH,HIGH
19/07/2026 11:30:49,19/07/2026,B787,4B,DPE,FO,HIGH,HIGH,HIGH,MED,MED,HIGH,HIGH,HIGH
19/07/2026 21:41:33,19/07/2026,A321,4B,FI,CAPTAIN,HIGH,HIGH,HIGH,HIGH,MED,HIGH,HIGH,HIGH
19/07/2026 21:42:18,19/07/2026,A321,4B,FI,FO,HIGH,HIGH,HIGH,HIGH,MED,HIGH,HIGH,HIGH
20/07/2026 17:30:28,19/07/2026,B787,4B,DPE,CAPTAIN,HIGH,HIGH,HIGH,MED,HIGH,HIGH,HIGH,HIGH
20/07/2026 17:31:39,19/07/2026,B787,4B,DPE,FO,HIGH,HIGH,HIGH,MED,HIGH,HIGH,HIGH,HIGH
